rank	no	word	ph	pos	def	freq	years	yearList	topForms
1438	2325	possibility	pɔsɪˈbɪlɪtɪ	n.	可能，可能性	12	4	2010/2012/2016/2020	possibility:9 possibilities:3
1439	2369	preview	ˈpriːvjuː	vt.	预习;试演;预展	12	2	2011/2019	previews:10 preview:2
1440	2453	radio	reɪdɪəʊ	n.	无线电，收音机	12	4	2011/2015/2017/2020	radio:12
1441	2495	recommend	rekəˈmend	v.	推荐	12	5	2009/2017/2019/2020/2022	recommend:7 recommended:4 recommending:1
1442	2519	register	ˈredʒɪstə(r)	n. v.	登记簿，花名册，注册员 v. 登记，注册	12	4	2010/2016/2017/2020	register:6 registered:4 registers:2
1443	2608	rose	rəʊz	n.	玫瑰花	12	5	2011/2016/2018/2019/2022	rose:12
1444	2630	sad	sæd	adj.	（使人）悲伤的	12	4	2010/2013/2016/2017	sad:12
1445	2974	straw	strɔː	n.	稻草	12	1	2021	straw:6 straws:6
1446	2979	strengthen	ˈstreŋθ(ə)n	vt.	加强，增强	12	5	2013/2014/2016/2019/2022	strengthen:5 strengthened:4 strengthens:3
1447	3004	suffer	ˈsʌfə(r)	vi.	受苦，遭受	12	6	2008/2010/2012/2016/2019/2022	suffered:6 suffer:4 suffers:2
1448	3041	survival	səˈvaɪv(ə)l	n.	存活，幸存	12	6	2013/2015/2016/2017/2018/2020	survival:12
1449	3042	survive	səˈvaɪv	v.	生存，存活，幸免于难	12	5	2010/2014/2015/2021/2022	survived:5 surviving:4 survive:3
1450	3071	talent	ˈtælənt	n.	天才，天赋	12	4	2010/2013/2016/2019	talent:11 talents:1
1451	3135	theory	θɪəˈretɪk(ə)l	n.	理论	12	4	2013/2018/2020/2022	theory:8 theories:4
1452	3324	unwilling	ʌnˈwɪlɪŋ	adj.	不愿意的，勉强的	12	6	2013/2017/2018/2019/2020/2022	unwilling:12
1453	3328	upset	ʌpˈset	adj.	心烦的，苦恼的	12	4	2012/2014/2020/2022	upset:6 upsets:4 upsetting:2
1454	3432	Wednesday	ˈwenzdeɪ	n.	星期三	12	5	2008/2013/2016/2017/2019	wednesday:10 wednesdays:2
1455	3512	worldwide	ˈwɜːldwaɪd	adj.	遍及全球的，世界范围的	12	7	2010/2011/2015/2017/2018/2019/2022	worldwide:12
1456	3518	worst	wɜːst	adj.	(bad的最高级)最坏的	12	5	2010/2011/2013/2017/2018	worst:12
1457	1	abandon	əˈbændən	v.	抛弃，舍弃，放弃	11	6	2016/2017/2018/2020/2021/2022	abandoned:10 abandoning:1
1458	25	access	ˈækses	n. v.	/ v. 通道，入径，存取（计算机文件	11	7	2010/2013/2015/2016/2019/2020/2021	access:10 accessed:1
1459	61	address	əˈdres	n.	地址	11	5	2008/2011/2014/2017/2022	address:7 addresses:3 addressed:1
1460	98	agent	ˈeɪdʒənt	n.	代理人，经纪人	11	3	2014/2016/2017	agent:9 agents:2
1461	107	aid	eɪd	n.	援助；救护；辅助器具	11	5	2016/2018/2019/2021/2022	aid:11
1462	123	alive	əˈlaɪv	adj.	活着的，存在的	11	3	2010/2014/2018	alive:11
1463	146	amaze	əˈmeɪz	v.	惊奇，惊叹；震惊	11	5	2012/2014/2016/2018/2020	amazed:10 amaze:1
1464	147	amazing	əˈmeɪzɪŋ	adj.	惊奇,惊叹的;震惊的；ambassador (ambassadress	11	4	2015/2017/2019/2022	amazing:11
1465	165	anger	ˈæŋɡə(r)	n.	怒，愤怒	11	4	2015/2016/2018/2020	anger:11
1466	174	annual	ˈænjʊəl	adj.	每年的，年度的，一年一次的	11	5	2014/2017/2019/2021/2022	annual:11
1467	197	appearance	əˈpɪərəns	n.	出现，露面；容貌	11	3	2010/2020/2021	appearance:11
1468	245	Asian	ˈeɪʃ(ə)n	adj. n.	亚洲（人）的n. 亚洲人	11	4	2008/2010/2011/2016	asian:11
1469	254	assistant	əˈsɪst(ə)nt	n.	助手，助理	11	5	2008/2011/2014/2016/2020	assistant:11
1470	348	bathroom	ˈbɑːθruːm	n.	浴室，盥洗室	11	5	2008/2015/2017/2019/2020	bathroom:9 bathrooms:2
1471	387	belong	bɪˈlɔŋ	vi.	属，附属	11	4	2012/2016/2018/2021	belonging:8 belong:3
1472	432	boat	bəʊt	n.	小船，小舟	11	4	2009/2011/2020/2022	boat:6 boats:5
1473	491	brilliant	ˈbrɪlɪənt	adj.	巧妙的，使人印象深刻的，技艺高的；bring (brought, brought	11	5	2013/2016/2019/2020/2022	brilliant:11
1474	497	broken	ˈbrəʊkən	adj.	弄坏了的	11	3	2012/2015/2016	broken:11
1475	600	certainly	ˈsɜːtənlɪ	adv.	当然；一定，无疑	11	5	2008/2012/2015/2017/2021	certainly:11
1476	620	chat	tʃæt	n. vi.	n. & vi. 聊天，闲谈	11	4	2018/2019/2020/2022	chat:7 chatted:4
1477	639	chicken	ˈtʃɪkən	n.	鸡；鸡肉	11	3	2010/2011/2018	chicken:6 chickens:5
1478	676	classmate	ˈklɑːsmeɪt	n.	同班同学	11	6	2010/2013/2016/2017/2019/2021	classmates:11
1479	733	companion	kəmˈpænɪən	n.	同伴；同事	11	3	2010/2016/2022	companions:8 companion:3
1480	738	compete	kəmˈpiːt	vi.	比赛，竞赛	11	4	2011/2017/2019/2021	compete:7 competing:4
1481	755	concert	ˈkɔnsət	n.	音乐会；演奏会	11	4	2016/2017/2019/2022	concert:9 concerts:2
1482	840	crash	kræʃ	v. n.	/ n. 碰撞，撞击	11	4	2016/2017/2020/2021	crash:5 crashed:3 crashing:2 crashes:1
1483	850	crop	krɔp	n.	庄稼；收成	11	3	2011/2014/2018	crops:8 crop:2 cropping:1
1484	873	cycle	ˈsaɪk(ə)l	vi.	骑自行车	11	5	2008/2010/2015/2018/2022	cycle:7 cycling:4
1485	881	dangerous	ˈdeɪndʒərəs	adj.	危险的	11	5	2008/2010/2011/2019/2022	dangerous:11
1486	882	dare	deə(r)	v. aux.	.（后接不带to的不定式；主要用于疑问，否定或条件句）敢，敢于	11	4	2013/2014/2017/2019	daring:4 dare:3 dares:2 dared:2
1487	907	decorate	ˈdekəreɪt	vt.	装饰…，修饰…	11	3	2012/2017/2020	decorated:5 decorate:4 decorating:2
1488	913	deer	dɪə(r)	n.	鹿	11	2	2010/2017	deer:11
1489	923	delighted	diˈlaitid	adj.	高兴的，快乐的	11	5	2009/2015/2016/2020/2021	delighted:11
1490	941	destroy	dɪˈstrɔɪ	vt.	破坏，毁坏	11	4	2010/2011/2012/2020	destroying:5 destroyed:5 destroy:1
1491	1060	eager	ˈiːɡə(r)	adj.	渴望的，热切的	11	4	2016/2017/2018/2021	eager:11
1492	1062	ear	ɪə(r)	n.	耳朵.耳状物；听力，听觉	11	3	2013/2016/2022	ears:6 ear:5
1493	1101	embarrass	ɪmˈbærəs	v.	使窘迫，尴尬	11	5	2011/2017/2018/2020/2022	embarrassing:7 embarrassed:4
1494	1106	employ	ɪmˈplɔɪ	vt.	雇佣	11	5	2010/2011/2013/2015/2019	employed:10 employ:1
1495	1113	enemy	ˈenɪmɪ	n.	敌人；敌军	11	5	2008/2010/2012/2015/2017	enemies:9 enemy:2
1496	1182	explanation	ekspləˈneɪʃ(ə)n	n.	解释，说明	11	5	2008/2012/2016/2019/2020	explanation:8 explanations:3
1497	1239	fellow	ˈfeləʊ	n.	同伴；伙伴	11	5	2010/2013/2015/2020/2022	fellow:9 fellows:2
1498	1293	flood	flʌd	n. vt.	洪水 vt. 淹没，使泛滥	11	4	2010/2015/2016/2018	flooded:4 flood:3 floods:3 flooding:1
1499	1313	football	ˈfʊtbɔːl	n.	（英式）足球；（美式）橄榄球	11	2	2016/2019	football:11
1500	1548	highway	ˈhaɪweɪ	n.	公路,主要交通道路	11	2	2011/2020	highway:9 highways:2
1501	1623	impression	ɪmˈpreʃ(ə)n	n.	印象，感觉	11	4	2013/2016/2018/2022	impression:7 impressions:4
1502	1679	invent	ɪnˈvent	vt.	发明，创造	11	4	2008/2010/2011/2014	invented:10 invent:1
1503	1682	invitation	ɪnvɪˈteɪʃ(ə)n	n.	邀请，请帖	11	5	2011/2012/2017/2021/2022	invitation:7 invitations:4
1504	2037	nine	naɪn	num.	九	11	2	2011/2019	nine:11
1505	2044	nod	nɔd	vi.	点头	11	4	2008/2013/2016/2021	nodded:5 nod:4 nods:2
1506	2081	observe	əbˈzɜːv	v.	观察，监视，观测	11	5	2011/2016/2017/2018/2019	observed:5 observing:4 observe:2
1507	2120	opposite	ˈɔpəzɪt	n. adj.	相反，对面 a. 相反的，对面的	11	3	2010/2013/2019	opposite:11
1508	2141	outcome	ˈaʊtkʌm	n.	结果，效果	11	4	2015/2017/2019/2020	outcome:7 outcomes:4
1509	2247	photographer	fəˈtɔɡrəfə(r)	n.	摄影师	11	3	2008/2016/2021	photographers:7 photographer:4
1510	2362	preserve	prezənˈteɪʃ(ə)n; (US) priːzenˈteʃn	v.	保护，保留，保存	11	4	2017/2018/2020/2022	preserve:7 preserving:2 preserved:2
1511	2469	rare	reə(r)	adj.	罕见的，稀有的	11	6	2013/2015/2017/2019/2021/2022	rare:11
1512	2549	reporter	rɪˈpɔːtə(r)	n.	记者，新闻通讯员	11	5	2013/2016/2017/2019/2021	reporter:8 reporters:3
1513	2629	sacrifice	ˈsækrɪfaɪs	vt.	牺牲	11	3	2015/2016/2017	sacrifice:8 sacrifices:2 sacrificed:1
1514	2698	section	ˈsekʃ(ə)n	n.	段，部分，部门	11	5	2012/2016/2019/2021/2022	section:11
1515	2765	shot	ʃɔt	n.	射击，开枪，开炮，射击声；子弹	11	5	2014/2015/2016/2019/2020	shot:8 shots:3
1516	2814	skin	skɪn	n.	皮，皮肤；兽皮	11	3	2010/2018/2019	skin:11
1517	2876	song	sʌn	n.	歌唱；歌曲	11	5	2011/2013/2016/2017/2021	songs:7 song:4
1518	3099	telephone	ˈtelɪɡrɑːf; (US) -ɡræf	v. n.	打电话 n. 电话	11	6	2008/2009/2012/2013/2014/2016	telephone:11
1519	3104	temporary	ˈtempərərɪ	adj.	短暂的，暂时的	11	4	2012/2013/2019/2020	temporary:11
1520	3131	theme	θiːm	n.	主题	11	4	2012/2013/2015/2019	theme:11
1521	3142	thin	θɪn	adj.	薄的；瘦的；稀的	11	3	2011/2016/2021	thin:11
1522	3176	timetable	ˈtaɪmteɪb(ə)l	n.	（火车、公共汽车等）时间表；（学校）课表	11	4	2008/2015/2016/2020	timetable:11
1523	3238	treasure	ˈtreʒə(r)	n.	金银财宝, 财富	11	5	2009/2014/2016/2017/2020	treasure:8 treasures:3
1524	3270	twice	twaɪs	adv.	两次；两倍	11	5	2009/2011/2013/2016/2020	twice:11
1525	3281	unable	juː ˈən	adj.	不能的，不能胜任的	11	5	2009/2018/2019/2020/2022	unable:11
1526	3455	whenever	wenˈevə(r)	conj.	每当，无论何时	11	5	2011/2012/2015/2016/2022	whenever:11
1527	3467	whom	huːm	pron.	(who的宾格	11	4	2014/2016/2019/2020	whom:11
1528	54	actual	ˈæktʃʊəl	adj.	实际的； 现实的	10	6	2013/2014/2017/2018/2019/2020	actual:10
1529	72	adopt	əˈdɔpt	v.	收养，领养	10	3	2013/2019/2020	adopting:4 adopt:3 adopted:3
1530	167	angry	ˈænɡrɪ	adj.	生气的，愤怒的	10	3	2011/2012/2014	angry:10
1531	190	apart	əˈpɑːt	adj.	, / a. 相隔，相距，除外	10	5	2010/2012/2013/2016/2018	apart:10
1532	264	athlete	ˈæθliːt	n.	运动员	10	2	2016/2020	athletes:7 athlete:3
1533	358	bean	biːn	n.	豆，豆科植物	10	2	2011/2013	beans:8 bean:2
1534	372	beehive	ˈbiːhaɪv	n.	蜂箱	10	2	2012/2014	beehives:7 beehive:3
1535	660	circle	ˈsɜːk(ə)l	n. vt.	/vt. 圆圈 将…圈起来	10	3	2010/2014/2019	circle:10
1536	696	cloud	ˈkləʊðɪŋ	n.	云；云状物；阴影	10	5	2008/2011/2016/2019/2020	cloud:5 clouds:5
1537	707	coin	kɔɪn	n.	硬币	10	3	2011/2015/2019	coin:10
1538	753	concept	ˈkɔnsept	n.	概念	10	4	2014/2016/2021/2022	concept:7 concepts:3
1539	763	confident	ˈkɔnfɪdənt	adj.	自信的	10	3	2016/2018/2019	confident:10
1540	783	constant	ˈkɔnstənt	adj.	经常的，不断的	10	4	2010/2017/2021/2022	constant:10
1541	792	contemporary	kənˈtempərərɪ; (US) kənˈtempərerɪ	adj.	属同时期的，同一时代的	10	4	2019/2020/2021/2022	contemporary:8 contemporaries:2
1542	830	countryside	ˈkʌntrɪsaɪd	n.	乡下，农村	10	5	2008/2011/2015/2018/2020	countryside:10
1543	843	cream	kriːm	n.	奶油，乳脂	10	3	2010/2017/2018	cream:10
1544	849	crew	kruː	n.	全体船员；criterion (pl. criteria	10	3	2013/2016/2022	crew:6 crews:4
1545	898	death	deθ	n.	死	10	4	2008/2010/2012/2018	death:9 deaths:1
1546	914	defeat	dɪˈfiːt	vt.	击败；战胜；defence (美defense	10	5	2011/2013/2015/2016/2018	defeated:7 defeat:2 defeats:1
1547	967	dine	daɪn	v.	吃饭；（指正式）进餐	10	3	2010/2020/2022	dining:8 dines:2
1548	988	discount	ˈdɪskaʊnt	n.	折扣	10	3	2016/2017/2022	discounts:6 discount:2 discounted:2
1549	1144	evaluate	ɪˈvæljʊeɪt	v.	估值，评价，评估	10	5	2016/2017/2018/2019/2020	evaluate:8 evaluates:2
1550	1292	float	fləʊt	vi.	漂浮，浮动	10	3	2008/2010/2020	floating:5 float:3 floated:2
1551	1372	fuel	fjuːəl	n.	燃料	10	4	2015/2017/2019/2020	fuel:6 fueled:2 fueling:2
1552	1425	golden	ˈɡəʊld(ə)n	adj.	金(黄)色的	10	3	2011/2012/2016	golden:10
1553	1599	hurry	ˈhʌrɪ	vi.	赶快；急忙；hurt (hurt, hurt	10	4	2010/2013/2014/2020	hurry:7 hurried:3
1554	1615	immediate	ɪˈmiːdɪət	adj.	立即的，马上	10	5	2012/2014/2016/2018/2019	immediate:10
1555	1629	income	ˈɪnkʌm	n.	收入，所得	10	6	2008/2011/2013/2014/2017/2020	income:10
1556	1658	institute	ˈɪnstɪtjuːt; (US) ˈɪnstətuːt	n.	(研究)所, 院，学院	10	4	2016/2017/2018/2020	institute:10
1557	1673	interrupt	ɪntəˈrʌpt	v.	打扰，打断	10	4	2016/2017/2018/2021	interrupt:6 interrupted:4
1558	1742	king	kɪŋ	n.	国王	10	5	2014/2015/2016/2018/2019	king:8 kings:2
1559	1792	length	leŋθ	n.	长，长度，段，节；less（little的比较级	10	3	2011/2012/2015	length:10
1560	1829	lonely	ˈləʊnlɪ	adj.	孤独的，寂寞的	10	5	2010/2011/2014/2019/2020	lonely:10
1561	1913	merely	ˈmɪəlɪ	adv.	仅仅，只不过	10	5	2010/2011/2013/2016/2020	merely:10
1562	1918	metal	ˈmet(ə)l	n. adj.	金属 a. 金属制成的	10	6	2008/2010/2011/2012/2013/2016	metal:8 metals:2
1563	1950	mix	mɪks	v.	混合，搅拌	10	3	2015/2019/2022	mixed:4 mix:3 mixing:2 mixes:1
1564	2055	northern	ˈnɔːð(ə)n	adj.	北方的，北部的	10	6	2010/2011/2012/2014/2018/2020	northern:10
1565	2058	nose	nəʊz	n.	鼻	10	3	2011/2021/2022	nose:8 noses:2
1566	2176	palace	ˈpælɪs	n.	宫，宫殿	10	1	2015	palace:10
1567	2203	passport	ˈpɑːspɔːt; (US) ˈpæ-	n.	护照	10	3	2010/2014/2017	passport:8 passports:2
1568	2207	patience	ˈpeɪʃns	n.	容忍；耐心	10	5	2012/2014/2015/2016/2021	patience:10
1569	2277	planet	ˈplænɪt	n.	行星	10	4	2008/2019/2020/2021	planet:10
1570	2319	port	pɔːt	n.	港口，码头	10	2	2018/2021	port:10
1571	2346	praise	preɪz	n. vt.	n.& vt.赞扬，表扬	10	5	2010/2016/2019/2020/2021	praised:4 praise:4 praising:2
1572	2402	proper	ˈprɔpə(r)	adj.	恰当的，合适的	10	6	2009/2011/2012/2014/2016/2020	proper:10
1573	2439	queen	kwiːn	n.	皇后，女王	10	5	2011/2012/2015/2016/2019	queen:7 queens:3
1574	2470	rat	ræt	n.	老鼠	10	3	2010/2019/2020	rates:10
1575	2565	respond	rɪˈspekt	v.	回答,回应,作出反应	10	6	2009/2016/2017/2018/2019/2022	responded:7 respond:3
1576	2709	senior	ˈsiːnɪə(r)	adj. n.	年长的,资深的,高年级的 n. 上级，长辈，高年级生	10	1	2014	senior:10
1577	2751	shock	ʃɔk	vt.	使震惊	10	3	2011/2012/2018	shocked:6 shock:3 shocking:1
1578	2772	sick	sɪk	adj.	有病,患病的,（想）呕吐	10	4	2010/2017/2018/2019	sick:10
1579	2861	sofa	ˈsəʊfə	n. adj.	（长）沙发；soft sɔft; (US) sɔːft]；a. 软的，柔和的	10	2	2016/2018	sofa:8 sofas:2
1580	2883	soup	suːp	n.	汤	10	3	2009/2013/2020	soup:10
1581	2943	statement	ˈsteɪtmənt	n.	声明，陈诉，说法；statesman/ woman (pl. statesmen/ women	10	4	2009/2016/2020/2022	statement:10
1582	2958	stomach	ˈstʌmək	n.	胃，胃部	10	4	2010/2012/2016/2020	stomach:10
1583	2996	substitute	ˈsʌbstɪtjuːt	v.	代替，取代	10	5	2011/2016/2017/2020/2021	substitute:8 substitutes:2
1584	3023	sunshine	ˈsʌnʃaɪn	n.	阳光	10	4	2015/2016/2018/2019	sunshine:10
1585	3067	tablet	tæblit	n.	药片	10	1	2018	tablets:6 tablet:4
1586	3079	target	ˈtɑːɡɪt	n. v.	/ v. 目标，把…作为攻击目标	10	4	2015/2019/2020/2021	target:7 targeted:2 targets:1
1587	3112	tent	tent	n.	帐篷	10	4	2014/2015/2016/2017	tent:8 tents:2
1588	3149	thirty	ˈθɜːtɪ	num.	三十	10	4	2010/2015/2017/2018	thirty:10
1589	3165	Thursday	ˈθɜːzdeɪ	n.	星期四	10	4	2015/2018/2020/2022	thursday:10
1590	3211	tourism	ˈtʊərɪz(ə)m	n.	旅游业；观光	10	4	2010/2018/2019/2021	tourism:10
1591	3230	translate	trænsˈleɪt	vt.	翻译	10	4	2016/2017/2018/2020	translate:4 translating:3 translated:3
1592	3262	Tuesday	ˈtjuːzdeɪ	n.	星期二	10	2	2017/2018	tuesday:10
1593	3269	twenty	ˈtwentɪ	num.	二十	10	5	2008/2011/2012/2013/2014	twenty:9 twenties:1
1594	3286	uncomfortable	ʌnˈkʌmftəb(ə)l	adj.	令人不舒服的	10	4	2011/2016/2017/2018	uncomfortable:10
1595	3314	unless	ʌnˈles	conj.	如果不，除非	10	4	2010/2012/2016/2020	unless:10
1596	3315	unlike	ʌnˈlaɪk	prep.	不像，和…不同	10	5	2009/2010/2012/2013/2017	unlike:10
1597	3368	viewer	ˈvjuːə(r)	n.	观看者	10	3	2015/2018/2021	viewers:8 viewer:2
1598	3411	warning	ˈwɔːnɪŋ	n.	警报	10	6	2011/2014/2015/2016/2018/2022	warning:10
1599	3426	weakness	ˈwiːknɪs	n.	软弱	10	6	2012/2013/2015/2016/2019/2020	weaknesses:6 weakness:4
1600	3538	yesterday	ˈjestədeɪ	n. adv.	昨天	10	4	2010/2017/2018/2021	yesterday:10
1601	18	abundant	əˈbʌndənt	adj.	大量,丰盛的,充裕的	9	2	2014/2018	abundant:9
1602	26	accessible	əkˈsesɪb(ə)l	adj.	可到达的，可接受的，易相处的	9	3	2010/2017/2022	accessible:9
1603	103	agreement	əˈɡriːmənt	n.	同意，一致；协定，协议	9	2	2010/2016	agreement:7 agreements:2
1604	105	agriculture	ˈæɡrɪkʌltʃə(r)	n.	农业，农学	9	4	2009/2010/2017/2018	agriculture:9
1605	122	alike	əˈlaɪk	adv.	很相似地，同样地	9	4	2010/2012/2021/2022	alike:9
1606	191	apartment	əˈpɑːtmənt	n.	（美）楼中单元房，一套房间；房间	9	4	2010/2013/2016/2020	apartment:6 apartments:3
1607	195	appeal	əˈpiːl	v.	上诉，申诉，吸引力	9	3	2011/2018/2019	appeal:4 appealing:2 appealed:2 appeals:1
1608	256	association	əsəʊsɪˈeɪʃ(ə)n	n.	协会，社团，联系	9	3	2009/2010/2014	associations:5 association:4
1609	284	authority	ɔːˈθɔrɪtɪ	n.	权力,权威,威信,官方	9	3	2013/2016/2019	authority:8 authorities:1
1610	353	bay	beɪ	n.	湾； 海湾	9	3	2018/2019/2022	bay:9
1611	389	belt	belt	n.	（皮）带	9	4	2010/2011/2017/2022	belt:9
1612	413	birthplace	ˈbɜːθpleɪs	n.	出生地；故乡	9	2	2010/2022	birthplace:9
1613	464	bowl	bəʊl	n.	碗	9	4	2011/2015/2016/2020	bowl:5 bowls:4
1614	472	branch	brɑːntʃ	n.	树枝；分枝；分公司，分店；支部	9	4	2014/2017/2019/2020	branches:9
1615	513	burden	ˈbɜːd(ə)n	n.	（义务，责任的）重担，负担	9	2	2014/2016	burden:9
1616	573	castle	ˈkɑːs(ə)l; (US) ˈkæsl	n.	城堡	9	2	2015/2020	castle:8 castles:1
1617	622	cheat	tʃiːt	n. v.	骗取，哄骗；作弊	9	2	2013/2015	cheating:6 cheated:2 cheat:1
1618	625	cheer	tʃɪə(r)	n. vi.	欢呼； 喝彩	9	4	2010/2013/2016/2019	cheer:6 cheering:2 cheered:1
1619	663	circumstance	ˈsɜːkəmstəns	n.	条件,环境,状况	9	3	2013/2015/2019	circumstances:5 circumstance:4
1620	674	classical	ˈklæsɪk(ə)l	adj.	传统的；古典的	9	3	2016/2020/2022	classical:9
1621	718	combine	kəmˈbaɪn	vt.	使联合；使结合；come (came, come	9	3	2016/2018/2019	combined:6 combines:2 combine:1
1622	808	convince	kənˈvɪns	v.	使确信，使信服	9	5	2009/2016/2017/2018/2020	convincing:5 convince:3 convinced:1
1623	838	cow	kaʊ	n.	母牛，奶牛	9	1	2010	cow:6 cows:3
1624	855	crowded	ˈkraʊdɪd	adj.	拥挤的	9	5	2011/2015/2016/2018/2019	crowded:9
1625	868	curtain	ˈkɜːt(ə)n	n.	窗帘	9	4	2015/2017/2020/2021	curtains:9
1626	912	deeply	ˈdiːplɪ	adv.	深深地	9	4	2014/2018/2019/2020	deeply:9
1627	932	description	dɪˈskrɪpʃ(ə)n	n.	描述，描写	9	4	2010/2013/2018/2022	description:7 descriptions:2
1628	963	digital	ˈdɪdʒɪt(ə)l	adj.	.数字的，数码的	9	3	2014/2017/2018	digital:9
1629	998	dislike	dɪsˈlaɪk	vt.	不喜爱；厌恶	9	4	2010/2013/2018/2021	dislikes:4 dislike:3 disliked:2
1630	1023	double	ˈdʌb(ə)l	adj. n.	两倍.双的 n. 两个.双	9	5	2008/2011/2017/2018/2020	double:7 doubling:2
1631	1078	educate	ˈedjʊkeɪt	vt.	教育，培养	9	5	2011/2014/2016/2017/2021	educated:7 educate:2
1632	1173	expand	ɪkˈspænd	v.	扩大，增加，扩展	9	3	2015/2020/2022	expand:4 expanded:4 expanding:1
1633	1219	fantastic	fæn'tæstik	adj.	(口语)极好的，美妙的，很棒的	9	4	2017/2018/2020/2021	fantastic:9
1634	1260	final	ˈfaɪn(ə)l	adj.	最后的；终极的	9	3	2018/2019/2020	final:9
1635	1330	former	ˈfɔːmə(r)	adj.	以前的，从前的；（两者之中的）前者	9	4	2014/2015/2017/2018	former:9
1636	1333	fortune	ˈfɔːtjuːn	n.	财产；运气	9	5	2010/2012/2014/2020/2021	fortune:9
1637	1400	generous	ˈdʒenərəs	adj.	慷慨大方的	9	4	2015/2017/2019/2020	generous:9
1638	1449	grass	ɡrɑːs; (US) ɡræs	n.	草；草场；牧草	9	3	2011/2014/2019	grass:9
1639	1502	harm	hɑːm	n. v.	伤害；损伤	9	4	2014/2016/2018/2019	harm:9
1640	1507	hat	hæt	n.	帽子(一般指有边的)；礼帽	9	4	2009/2015/2016/2021	hat:4 hated:3 hats:2
1641	1558	hobby	ˈhɔbɪ	n.	业余爱好，嗜好；hold (held, held	9	4	2011/2015/2018/2021	hobby:8 hobbies:1
1642	1592	humorous	ˈhjuːmərəs	adj.	富于幽默的；humour (美humor	9	3	2015/2017/2019	humorous:9
1643	1597	hunter	ˈhʌntə(r)	n.	猎人	9	4	2010/2013/2014/2020	hunters:7 hunter:2
1644	1606	identity	aɪˈdentɪtɪ	n.	身份，特征	9	4	2013/2019/2021/2022	identity:6 identities:3
1645	1662	instrument	ˈɪnstrʊmənt	n.	乐器;工具,器械	9	6	2011/2012/2017/2019/2020/2022	instruments:9
1646	1678	introduction	ɪntrəˈdʌkʃ(ə)n	n.	引进，介绍	9	5	2009/2010/2011/2014/2018	introduction:8 introductions:1
1647	1826	lock	lɔk	n. vt.	锁 vt. 锁，锁上	9	5	2008/2011/2013/2017/2021	locked:8 lock:1
1648	1907	mentally	ˈmentəlɪ	adv.	精神上；智力上	9	3	2012/2017/2021	mentally:9
1649	1996	musician	mjuːˈzɪʃ(ə)n	n.	音乐家，乐师	9	3	2016/2017/2019	musicians:5 musician:4
1650	2048	none	nʌn	pron.	无任何东西, 无一人	9	3	2012/2018/2019	none:9
1651	2064	novel	ˈnɔv(ə)l	n.	（长篇）小说	9	3	2019/2020/2021	novel:7 novels:2
1652	3601	Olympic	əˈlɪmpɪk	adj.	奥林匹克（运动会）的	9	2	2016/2020	olympic:5 olympics:4
1653	2131	origin	ˈɔrɪdʒɪn	n.	起源，由来	9	5	2010/2016/2017/2020/2021	origin:9
1654	2196	partly	ˈpɑːtlɪ	adv.	部分地,在一定程度上	9	4	2010/2016/2020/2022	partly:9
1655	2270	pioneer	paɪəˈnɪə(r)	n.	先锋，开拓者	9	3	2015/2016/2017	pioneers:7 pioneer:2
1656	2276	plane	pleɪn	n.	飞机	9	4	2010/2013/2016/2020	plane:9
1657	2336	pot	pɔt	n.	锅，壶，瓶，罐	9	3	2010/2016/2018	pot:7 pots:2
1658	2375	principle	ˈprɪnsɪp(ə)l	n.	道德原则，法则	9	4	2014/2015/2018/2021	principle:7 principles:2
1659	2493	recipe	ˈresɪpɪ	n.	烹饪法，食谱	9	2	2014/2018	recipes:7 recipe:2
1660	2570	restriction	rɪˈstrɪkʃ(ə)n	n.	限制，约束	9	4	2010/2017/2020/2021	restrictions:9
1661	2614	row	rəʊ	n. v.	（一）排,（一）行 v.划船	9	4	2010/2011/2019/2020	row:5 rows:4
1662	2683	sculpture	ˈskʌlptʃə(r)	n.	雕塑（术），雕刻（术），雕刻作品，雕像	9	2	2015/2021	sculptures:7 sculpture:2
1663	2787	silly	ˈsɪlɪ	adj.	傻的，愚蠢的	9	3	2010/2019/2021	silly:9
1664	2808	skateboard	ˈskeɪtbɔːd	n.	冰鞋，滑板	9	2	2008/2021	skateboarding:7 skateboards:2
1665	2887	southern	ˈsʌð(ə)n	adj.	南部的，南方的	9	3	2015/2019/2020	southern:9
1666	2913	spoon	spuːn	n.	匙, 调羹	9	4	2010/2011/2015/2022	spoons:7 spoon:2
1667	2927	staff	stɑːf	n.	全体职工（雇员	9	4	2010/2018/2020/2022	staff:9
1668	2948	steady	ˈstedɪ	adj.	稳固的；平稳的	9	5	2011/2014/2015/2016/2017	steady:9
1669	2950	steam	stiːm	n.	汽，水蒸气	9	2	2016/2017	steam:9
1670	2965	storm	stɔːm	n.	风暴，暴（风）雨	9	3	2010/2014/2018	storm:6 storms:3
1671	2983	string	strɪŋ	n.	细绳，线，带	9	3	2010/2012/2022	string:6 strings:3
1672	3008	suggestion	səˈdʒestʃ(ə)n	n.	建议	9	4	2011/2013/2015/2020	suggestion:8 suggestions:1
1673	3178	tiny	ˈtaɪnɪ	adj.	tinier, tiniest a. 极小的，微小的	9	5	2008/2012/2019/2020/2021	tiny:9
1674	3240	treatment	ˈtriːtmənt	n.	治疗,疗法	9	3	2012/2013/2020	treatment:8 treatments:1
